keyword,competitor_hit_count,sample_hits
人生方向,13,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0006""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0007""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0008""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/fortune/fortune-0004""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/astrology/astrology-0002""}]"
16 型人格,8,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}]"
MBTI 是什麼,7,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://www.mysticpantheon.com""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}]"
ENFP,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0008""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INFJ,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0007""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INFP,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0006""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INTJ,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0005""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
INTJ 是什麼,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0005""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
MBTI 測驗,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
MBTI 準嗎,6,"[{""source"": ""feed"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0001""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0002""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0003""}, {""source"": ""page"", ""url"": ""https://mysticpantheon.com/articles/personality/personality-0004""}]"
